ID,Name,to_Airframer_Id
005056A7-7CAC-1EDD-82FD-239FC3535C93,L-159,005056A7-7CAC-1EDD-82FD-239FC3533C93
005056A7-7CAC-1EDD-82FD-239FC3537C93,L-39NG,005056A7-7CAC-1EDD-82FD-239FC3533C93
005056A7-7CAC-1EDD-82FD-239FC353BC93,Super Lynx 200/Super Lynx 300,005056A7-7CAC-1EDD-82FD-239FC3539C93
005056A7-7CAC-1EDD-82FD-239FC353FC93,AT-402,005056A7-7CAC-1EDD-82FD-239FC353DC93
005056A7-7CAC-1EDD-82FD-239FC3541C93,AT-502A,005056A7-7CAC-1EDD-82FD-239FC353DC93
005056A7-7CAC-1EDD-82FD-239FC3543C93,AT-502B,005056A7-7CAC-1EDD-82FD-239FC353DC93
005056A7-7CAC-1EDD-82FD-239FC3545C93,AT-504,005056A7-7CAC-1EDD-82FD-239FC353DC93
005056A7-7CAC-1EDD-82FD-239FC3547C93,AT-602,005056A7-7CAC-1EDD-82FD-239FC353DC93
005056A7-7CAC-1EDD-82FD-239FC3549C93,AT-63,005056A7-7CAC-1EDD-82FD-239FC353DC93
005056A7-7CAC-1EDD-82FD-239FC354BC93,AT-802/A,005056A7-7CAC-1EDD-82FD-239FC353DC93
005056A7-7CAC-1EDD-82FD-239FC354FC93,333,005056A7-7CAC-1EDD-82FD-239FC354DC93
005056A7-7CAC-1EDD-82FD-239FC3551C93,350,005056A7-7CAC-1EDD-82FD-239FC354DC93
005056A7-7CAC-1EDD-82FD-239FC3553C93,A220-100/A220-300,005056A7-7CAC-1EDD-82FD-239FC354DC93
005056A7-7CAC-1EDD-82FD-239FC3555C93,A318/A318 Elite/A319/A319neo/A320-100/A320-200/A320neo/A321-200/A321neo,005056A7-7CAC-1EDD-82FD-239FC354DC93
005056A7-7CAC-1EDD-82FD-239FC3557C93,A330 -200/A330-300/A330-800neo/A330-900neo,005056A7-7CAC-1EDD-82FD-239FC354DC93
005056A7-7CAC-1EDD-82FD-239FC3559C93,A330 MRTT,005056A7-7CAC-1EDD-82FD-239FC354DC93
005056A7-7CAC-1EDD-82FD-239FC355BC93,A340 -300 X/A340-500/A340-600,005056A7-7CAC-1EDD-82FD-239FC354DC93
005056A7-7CAC-1EDD-82FD-239FC355DC93,A350-900/A350 -1000,005056A7-7CAC-1EDD-82FD-239FC354DC93
005056A7-7CAC-1EDD-82FD-239FC355FC93,A380,005056A7-7CAC-1EDD-82FD-239FC354DC93
005056A7-7CAC-1EDD-82FD-239FC3561C93,ACJ/ACJ318,005056A7-7CAC-1EDD-82FD-239FC354DC93
005056A7-7CAC-1EDD-82FD-239FC3565C93,A400M,005056A7-7CAC-1EDD-82FD-239FC3563C93
005056A7-7CAC-1EDD-82FD-239FC3567C93,C-212 -400,005056A7-7CAC-1EDD-82FD-239FC3563C93
005056A7-7CAC-1EDD-82FD-239FC3569C93,C-295,005056A7-7CAC-1EDD-82FD-239FC3563C93
